ANIO,MES,FECHA,Latitud,Longitud,FALLECIDOS,CAUSA PROBABLE,TIPOLOGIA
2021,ENERO,01/01/2021,-0.217446,-78.400434,1,CONDUCIR EN MALAS CONDICIONES FISICAS,ESTRELLAMIENTO
2021,ENERO,01/01/2021,-0.3080055,-78.55941598,1,CONDUCIR SUPERANDO LOS LIMITES DE VELOCIDAD,ESTRELLAMIENTO
2021,ENERO,01/01/2021,-0.17407692,-78.49306912,1,CONDUCE BAJO LA INFLUENCIA DE ALCOHOL,CHOQUES
2021,ENERO,03/01/2021,-0.12356389,-78.50331016,1,PEATON QUE CRUZA LA CALZADA SIN RESPETAR LA SEniALIZACION,ATROPELLO
2021,ENERO,07/01/2021,-0.25268005,-78.50405666,1,CONDICIONES AMBIENTALES ADVERSAS,ESTRELLAMIENTO
2021,ENERO,09/01/2021,-0.204645,-78.37778,1,NO CEDER EL DERECHO DE VIA AL PEATON,ATROPELLO
2021,ENERO,09/01/2021,-0.30371089,-78.46617817,1,CONDUCIR EN MALAS CONDICIONES FISICAS,CHOQUES
2021,ENERO,09/01/2021,-0.14141657,-78.48294673,1,NO GUARDAR LA DISTANCIA LATERAL ENTRE VEHICULOS,CHOQUES
2021,ENERO,10/01/2021,-0.23204573,-78.52342189,1,NO CEDER EL DERECHO VIA A VEHICULOS,CHOQUES
2021,ENERO,11/01/2021,-0.25670356,-78.54271832,1,PEATON QUE CRUZA LA CALZADA SIN RESPETAR LA SENIALIZACION,ATROPELLO
2021,ENERO,13/01/2021,-0.13764912,-78.50135825,1,NO TRANSITAR POR LAS ACERAS,ATROPELLO
2021,ENERO,16/01/2021,-0.10937408,-78.50426534,1,PEATON QUE CRUZA LA CALZADA SIN RESPETAR LA SENIALIZACION,ATROPELLO
2021,ENERO,19/01/2021,-0.12893528,-78.48511278,1,CONDUCIR SUPERANDO LOS LIMITES DE VELOCIDAD,ROCE
2021,ENERO,21/01/2021,-0.27763758,-78.55762751,1,CONDUCIR SUPERANDO LOS LIMITES DE VELOCIDAD,ATROPELLO
2021,ENERO,26/01/2021,-0.16405212,-78.47165534,1,PEATON QUE CRUZA LA CALZADA SIN RESPETAR LA SENIALIZACION,ATROPELLO
2021,ENERO,26/01/2021,-0.17987857,-78.47262153,1,ADELANTAR O REBASAR EN ZONAS PELIGROSAS,ESTRELLAMIENTO
2021,ENERO,27/01/2021,-0.30949385,-78.5591198,1,NO CEDER EL DERECHO VIA A VEHICULOS,CHOQUES
2021,ENERO,30/01/2021,-0.2447818,-78.52000282,1,NO TRANSITAR POR LAS ACERAS,ATROPELLO
2021,FEBRERO,10/02/2021,-0.3385203,-78.55553231,1,REALIZAR CAMBIO BRUSCO O INDEBIDO DE CARRIL,CHOQUES
2021,FEBRERO,11/02/2021,-0.24284844,-78.49961131,1,NO CEDER EL DERECHO DE VIA AL PEATON,ATROPELLO
2021,FEBRERO,11/02/2021,-0.20209547,-78.48646097,1,CONDUCE BAJO LA INFLUENCIA DE ALCOHOL,CHOQUES
2021,FEBRERO,14/02/2021,-0.23237045,-78.4845143,1,PEATON QUE CRUZA LA CALZADA SIN RESPETAR LA SENIALIZACION,ATROPELLO
2021,FEBRERO,20/02/2021,-0.09075339,-78.52139903,1,PEATON QUE CRUZA LA CALZADA SIN RESPETAR LA SENIALIZACION,ATROPELLO
2021,FEBRERO,20/02/2021,-0.19149798,-78.44314176,1,NO RESPETAR LAS SENIALES REGLAMENTARIAS,CHOQUES
2021,FEBRERO,20/02/2021,-0.36669524,-78.49353554,3,NO CEDER EL DERECHO DE VIA AL PEATON,ATROPELLO
2021,FEBRERO,24/02/2021,-0.23329066,-78.50349,1,REALIZAR CAMBIO BRUSCO O INDEBIDO DE CARRIL,CHOQUES
2021,FEBRERO,25/02/2021,-0.13856001,-78.48243608,1,NO CEDER EL DERECHO DE VIA AL PEATON,ATROPELLO
2021,FEBRERO,27/02/2021,-0.24247477,-78.49748821,1,PEATON QUE CRUZA LA CALZADA SIN RESPETAR LA SENIALIZACION,ATROPELLO
